nombre_modelo,experimento,config_modelo,config_entrenamiento,tipo_ruido,nivel_ruido,dimension_latente,capas_encoder,capas_decoder,learning_rate,epochs_config,epochs_ejecutadas,mse_limpio,mse_ruidoso,precision_limpieza,mejora_snr,mejora_mse_porcentaje,efectivo,tiempo_entrenamiento,convergencia,exito,error
tp3_lat2_ep1500_lr0_001_binario_0_05,1,simple_2d,exhaustivo,binario,0.05,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.198639,0.226333,0.7679,-6.07,12.24,True,37.03,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_1,2,simple_2d,exhaustivo,binario,0.1,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.225453,0.255659,0.7375,-4.2,11.81,True,37.0,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_15,3,simple_2d,exhaustivo,binario,0.15,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.25472,0.306428,0.7143,-2.1,16.87,True,37.05,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_2,4,simple_2d,exhaustivo,binario,0.2,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.272365,0.328017,0.6929,-1.52,16.97,True,37.09,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_1,5,simple_2d,exhaustivo,gaussiano,0.1,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.042893,0.042893,0.9455,-inf,0.0,True,37.02,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_2,6,simple_2d,exhaustivo,gaussiano,0.2,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.080946,0.082493,0.9027,-14.8,1.88,True,37.07,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_3,7,simple_2d,exhaustivo,gaussiano,0.3,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.158752,0.194145,0.8152,-4.58,18.23,True,37.11,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_4,8,simple_2d,exhaustivo,gaussiano,0.4,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.22903,0.258328,0.7295,-4.45,11.34,True,37.15,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_1,9,simple_2d,exhaustivo,dropout,0.1,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.132663,0.138366,0.8473,-5.92,4.12,True,37.11,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_2,10,simple_2d,exhaustivo,dropout,0.2,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.152576,0.157613,0.8196,-5.08,3.2,True,37.67,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_3,11,simple_2d,exhaustivo,dropout,0.3,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.235923,0.226503,0.7402,-4.13,-4.16,False,37.69,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_4,12,simple_2d,exhaustivo,dropout,0.4,2,"[20, 10]","[10, 20]",0.001,1500,1500,0.210264,0.217121,0.7696,-2.23,3.16,True,37.71,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_05,13,profundo_2d,exhaustivo,binario,0.05,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.182406,0.198265,0.8054,-5.11,8.0,True,38.43,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_1,14,profundo_2d,exhaustivo,binario,0.1,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.214262,0.25485,0.7652,-3.08,15.93,True,38.23,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_15,15,profundo_2d,exhaustivo,binario,0.15,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.305209,0.339404,0.6804,-2.64,10.07,True,38.25,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_2,16,profundo_2d,exhaustivo,binario,0.2,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.297191,0.346278,0.6813,-1.82,14.18,True,38.22,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_1,17,profundo_2d,exhaustivo,gaussiano,0.1,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.038301,0.038301,0.9598,-inf,-0.0,False,38.13,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_2,18,profundo_2d,exhaustivo,gaussiano,0.2,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.07899,0.083939,0.9098,-8.68,5.9,True,38.29,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_3,19,profundo_2d,exhaustivo,gaussiano,0.3,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.197584,0.224052,0.7884,-6.37,11.81,True,37.79,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_4,20,profundo_2d,exhaustivo,gaussiano,0.4,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.245323,0.269375,0.733,-3.71,8.93,True,38.03,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_1,21,profundo_2d,exhaustivo,dropout,0.1,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.144669,0.15712,0.8402,-6.53,7.92,True,38.03,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_2,22,profundo_2d,exhaustivo,dropout,0.2,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.217393,0.225999,0.7661,-4.89,3.81,True,38.46,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_3,23,profundo_2d,exhaustivo,dropout,0.3,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.241578,0.239023,0.7286,-3.91,-1.07,False,38.61,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_4,24,profundo_2d,exhaustivo,dropout,0.4,2,"[30, 25, 15]","[15, 25, 30]",0.001,1500,1500,0.26165,0.267406,0.7107,-3.27,2.15,True,38.47,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_05,25,minimo_2d,exhaustivo,binario,0.05,2,[12],[12],0.001,1500,1500,0.144601,0.169731,0.8063,-5.97,14.81,True,37.73,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_1,26,minimo_2d,exhaustivo,binario,0.1,2,[12],[12],0.001,1500,1500,0.226381,0.262699,0.7089,-3.71,13.82,True,37.7,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_15,27,minimo_2d,exhaustivo,binario,0.15,2,[12],[12],0.001,1500,1500,0.160589,0.224426,0.8009,-0.67,28.44,True,37.48,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_2,28,minimo_2d,exhaustivo,binario,0.2,2,[12],[12],0.001,1500,1500,0.251595,0.310652,0.6982,-1.04,19.01,True,37.84,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_1,29,minimo_2d,exhaustivo,gaussiano,0.1,2,[12],[12],0.001,1500,1500,0.05904,0.05904,0.9187,-inf,0.0,True,37.64,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_2,30,minimo_2d,exhaustivo,gaussiano,0.2,2,[12],[12],0.001,1500,1500,0.105792,0.103643,0.867,-12.29,-2.07,False,37.68,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_3,31,minimo_2d,exhaustivo,gaussiano,0.3,2,[12],[12],0.001,1500,1500,0.197934,0.208127,0.7536,-5.98,4.9,True,37.33,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_4,32,minimo_2d,exhaustivo,gaussiano,0.4,2,[12],[12],0.001,1500,1500,0.179354,0.213071,0.767,-2.5,15.82,True,37.32,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_1,33,minimo_2d,exhaustivo,dropout,0.1,2,[12],[12],0.001,1500,1500,0.153079,0.154425,0.8089,-6.66,0.87,True,37.76,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_2,34,minimo_2d,exhaustivo,dropout,0.2,2,[12],[12],0.001,1500,1500,0.19772,0.203663,0.7634,-5.26,2.92,True,37.25,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_3,35,minimo_2d,exhaustivo,dropout,0.3,2,[12],[12],0.001,1500,1500,0.219813,0.229058,0.7366,-3.66,4.04,True,37.16,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_4,36,minimo_2d,exhaustivo,dropout,0.4,2,[12],[12],0.001,1500,1500,0.19886,0.189479,0.7348,-1.95,-4.95,False,37.66,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_05,37,ultra_profundo_2d,exhaustivo,binario,0.05,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.20741,0.226446,0.7607,-5.95,8.41,True,40.12,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_1,38,ultra_profundo_2d,exhaustivo,binario,0.1,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.250622,0.305341,0.7286,-3.65,17.92,True,39.65,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_15,39,ultra_profundo_2d,exhaustivo,binario,0.15,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.283726,0.32889,0.6786,-2.52,13.73,True,39.85,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_2,40,ultra_profundo_2d,exhaustivo,binario,0.2,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.281263,0.333364,0.6866,-1.37,15.63,True,39.2,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_1,41,ultra_profundo_2d,exhaustivo,gaussiano,0.1,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.047496,0.047496,0.9482,-inf,0.0,True,39.27,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_2,42,ultra_profundo_2d,exhaustivo,gaussiano,0.2,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.072324,0.073211,0.9152,-19.08,1.21,True,39.08,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_3,43,ultra_profundo_2d,exhaustivo,gaussiano,0.3,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.222361,0.235528,0.7554,-7.24,5.59,True,39.05,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_4,44,ultra_profundo_2d,exhaustivo,gaussiano,0.4,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.255159,0.300459,0.7027,-3.88,15.08,True,39.14,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_1,45,ultra_profundo_2d,exhaustivo,dropout,0.1,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.119633,0.131616,0.8554,-5.96,9.1,True,39.41,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_2,46,ultra_profundo_2d,exhaustivo,dropout,0.2,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.158217,0.178042,0.8241,-4.78,11.13,True,40.05,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_3,47,ultra_profundo_2d,exhaustivo,dropout,0.3,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.212295,0.227937,0.7482,-3.63,6.86,True,39.82,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_4,48,ultra_profundo_2d,exhaustivo,dropout,0.4,2,"[32, 28, 24, 20, 16, 12, 8]","[8, 12, 16, 20, 24, 28, 32]",0.001,1500,1500,0.233736,0.23007,0.7393,-3.01,-1.59,False,39.69,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_05,49,ultra_ancho_2d,exhaustivo,binario,0.05,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.213006,0.23165,0.7723,-6.96,8.05,True,37.29,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_1,50,ultra_ancho_2d,exhaustivo,binario,0.1,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.228052,0.258691,0.7518,-2.93,11.84,True,37.27,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_15,51,ultra_ancho_2d,exhaustivo,binario,0.15,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.287583,0.340425,0.6893,-2.7,15.52,True,36.89,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_2,52,ultra_ancho_2d,exhaustivo,binario,0.2,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.275812,0.33456,0.7107,-1.51,17.56,True,37.09,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_1,53,ultra_ancho_2d,exhaustivo,gaussiano,0.1,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.03115,0.03115,0.9661,-inf,-0.0,False,37.17,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_2,54,ultra_ancho_2d,exhaustivo,gaussiano,0.2,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.043156,0.048139,0.9536,-9.06,10.35,True,36.64,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_3,55,ultra_ancho_2d,exhaustivo,gaussiano,0.3,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.153616,0.182707,0.8277,-4.95,15.92,True,618.0,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_4,56,ultra_ancho_2d,exhaustivo,gaussiano,0.4,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.278602,0.318979,0.7,-3.87,12.66,True,617.83,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_1,57,ultra_ancho_2d,exhaustivo,dropout,0.1,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.131578,0.14707,0.8554,-6.0,10.53,True,618.26,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_2,58,ultra_ancho_2d,exhaustivo,dropout,0.2,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.198054,0.208413,0.7875,-4.83,4.97,True,36.54,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_3,59,ultra_ancho_2d,exhaustivo,dropout,0.3,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.24071,0.249088,0.7455,-4.31,3.36,True,36.47,False,True,
tp3_lat2_ep1500_lr0_001_dropout_0_4,60,ultra_ancho_2d,exhaustivo,dropout,0.4,2,"[64, 32]","[32, 64]",0.001,1500,1500,0.267289,0.266305,0.7205,-3.33,-0.37,False,37.24,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_05,61,tanh_2d,exhaustivo,binario,0.05,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.177029,0.194599,0.7759,-5.65,9.03,True,37.42,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_1,62,tanh_2d,exhaustivo,binario,0.1,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.219865,0.248804,0.725,-3.12,11.63,True,37.6,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_15,63,tanh_2d,exhaustivo,binario,0.15,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.23589,0.263467,0.6884,-1.45,10.47,True,37.63,False,True,
tp3_lat2_ep1500_lr0_001_binario_0_2,64,tanh_2d,exhaustivo,binario,0.2,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.260139,0.303616,0.6759,-1.46,14.32,True,39.35,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_1,65,tanh_2d,exhaustivo,gaussiano,0.1,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.046267,0.046267,0.9473,-inf,0.0,True,39.21,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_2,66,tanh_2d,exhaustivo,gaussiano,0.2,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.092467,0.092736,0.8884,-11.12,0.29,True,39.51,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_3,67,tanh_2d,exhaustivo,gaussiano,0.3,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.147954,0.155297,0.8063,-6.07,4.73,True,38.88,False,True,
tp3_lat2_ep1500_lr0_001_gaussiano_0_4,68,tanh_2d,exhaustivo,gaussiano,0.4,2,"[25, 15]","[15, 25]",0.001,1500,1500,0.191089,0.23066,0.7464,-2.55,17.16,True,38.62,False,True,
