experimento,arquitectura,entrenamiento,dimension_latente,epochs_configuradas,epochs_ejecutadas,learning_rate,batch_size,loss_final,mse,precision,convergio,tiempo_entrenamiento,nombre_modelo,tamaño_imagen
1,simple_2d,rapido,2,500,500,0.001,32,1.2656195163726807,0.04723901301622391,0.9489583333333333,False,11.818121194839478,tp3_tipografia_lat2_ep500_lr0_001,32
2,simple_2d,normal,2,1500,1500,0.001,32,2.2968523502349854,0.04330192878842354,0.95478515625,False,39.96805500984192,tp3_tipografia_lat2_ep1500_lr0_001,32
3,simple_2d,exhaustivo,2,3000,3000,0.001,32,1.917672872543335,0.059701576828956604,0.93984375,False,86.73258185386658,tp3_tipografia_lat2_ep3000_lr0_001,32
4,profundo_2d,rapido,2,500,500,0.001,32,1.0067651271820068,0.04714084416627884,0.95107421875,False,19.152561902999878,tp3_tipografia_lat2_ep500_lr0_001,32
5,profundo_2d,normal,2,1500,1500,0.001,32,1.6232852935791016,0.03963084891438484,0.9584635416666667,False,51.90225028991699,tp3_tipografia_lat2_ep1500_lr0_001,32
6,profundo_2d,exhaustivo,2,3000,3000,0.001,32,1.685115098953247,0.04131882265210152,0.9573567708333334,False,91.87662601470947,tp3_tipografia_lat2_ep3000_lr0_001,32
7,minimo_2d,rapido,2,500,500,0.001,32,1.588028073310852,0.04464223235845566,0.9514973958333334,False,12.004224061965942,tp3_tipografia_lat2_ep500_lr0_001,32
8,minimo_2d,normal,2,1500,1500,0.001,32,1.489585280418396,0.04728035256266594,0.9502604166666667,False,32.51869988441467,tp3_tipografia_lat2_ep1500_lr0_001,32
9,minimo_2d,exhaustivo,2,3000,3000,0.001,32,2.2953970432281494,0.04776857793331146,0.9498046875,False,61.28192472457886,tp3_tipografia_lat2_ep3000_lr0_001,32
10,ultra_profundo_2d,rapido,2,500,500,0.001,32,0.6131870150566101,0.06585220247507095,0.908984375,False,18.846930742263794,tp3_tipografia_lat2_ep500_lr0_001,32
11,ultra_profundo_2d,normal,2,1500,1155,0.001,32,0.8001991510391235,0.043198179453611374,0.9538736979166667,True,40.19627594947815,tp3_tipografia_lat2_ep1500_lr0_001,32
12,ultra_profundo_2d,exhaustivo,2,3000,1014,0.001,32,0.5552530884742737,0.05622127279639244,0.9300130208333334,True,34.44610404968262,tp3_tipografia_lat2_ep3000_lr0_001,32
13,ultra_ancho_2d,rapido,2,500,500,0.001,32,1.161344289779663,0.05112268775701523,0.9467122395833333,False,17.09276509284973,tp3_tipografia_lat2_ep500_lr0_001,32
14,ultra_ancho_2d,normal,2,1500,1500,0.001,32,1.9856547117233276,0.05063008889555931,0.9485026041666667,False,51.15996289253235,tp3_tipografia_lat2_ep1500_lr0_001,32
15,ultra_ancho_2d,exhaustivo,2,3000,3000,0.001,32,1.660544514656067,0.045914340764284134,0.95185546875,False,101.94650292396545,tp3_tipografia_lat2_ep3000_lr0_001,32
16,tanh_2d,rapido,2,500,500,0.001,32,0.28427454829216003,0.052701178938150406,0.941015625,False,14.279633045196533,tp3_tipografia_lat2_ep500_lr0_001,32
17,tanh_2d,normal,2,1500,1500,0.001,32,0.3668913245201111,0.041297245770692825,0.9563802083333334,False,40.648520946502686,tp3_tipografia_lat2_ep1500_lr0_001,32
18,tanh_2d,exhaustivo,2,3000,3000,0.001,32,0.4055212736129761,0.043658509850502014,0.95244140625,False,79.70362901687622,tp3_tipografia_lat2_ep3000_lr0_001,32
19,compacto_5d,rapido,5,500,500,0.001,32,1.1696934700012207,0.04133131727576256,0.9569010416666667,False,14.085251092910767,tp3_tipografia_lat5_ep500_lr0_001,32
20,compacto_5d,normal,5,1500,1500,0.001,32,0.8875952959060669,0.03819119185209274,0.9604166666666667,False,36.31810283660889,tp3_tipografia_lat5_ep1500_lr0_001,32
21,compacto_5d,exhaustivo,5,3000,3000,0.001,32,1.0996248722076416,0.04225564002990723,0.9566080729166667,False,72.6101930141449,tp3_tipografia_lat5_ep3000_lr0_001,32
22,profundo_8d,rapido,8,500,500,0.001,32,1.1667170524597168,0.04541616141796112,0.9531575520833333,False,15.015058994293213,tp3_tipografia_lat8_ep500_lr0_001,32
23,profundo_8d,normal,8,1500,1500,0.001,32,1.3197182416915894,0.03876199200749397,0.95986328125,False,44.16585087776184,tp3_tipografia_lat8_ep1500_lr0_001,32
24,profundo_8d,exhaustivo,8,3000,3000,0.001,32,0.6213042140007019,0.035103846341371536,0.9630533854166666,False,87.4285249710083,tp3_tipografia_lat8_ep3000_lr0_001,32
25,ancho_10d,rapido,10,500,500,0.001,32,0.6016799211502075,0.03365975245833397,0.9645182291666666,False,14.52976679801941,tp3_tipografia_lat10_ep500_lr0_001,32
26,ancho_10d,normal,10,1500,1500,0.001,32,0.5732657313346863,0.032780781388282776,0.9655598958333333,False,42.74343681335449,tp3_tipografia_lat10_ep1500_lr0_001,32
27,ancho_10d,exhaustivo,10,3000,3000,0.001,32,0.6118600964546204,0.029861735180020332,0.96865234375,False,82.63711905479431,tp3_tipografia_lat10_ep3000_lr0_001,32
